,category,sub_category,brand,sale_price,market_price,type,rating
24458,"Eggs, Meat & Fish",Eggs,Fresho,300.0,340.0,Country Eggs,3.9434095831792573
24459,Cleaning & Household,Stationery,Kaadoo,225.0,299.0,Games & Calculators,3.4
24460,Baby Care,Diapers & Wipes,Huggies,2183.09,2399.0,Diapers,5.0
24461,"Foodgrains, Oil & Masala",Dry Fruits,Soulfit,449.0,449.0,Other Dry Fruits,4.0
24462,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,269.0,320.0,Glassware,3.4
24463,Snacks & Branded Foods,Breakfast Cereals,PRISTINE,120.0,120.0,Flakes,3.8
24464,Gourmet & World Food,"Sauces, Spreads & Dips",Pintola,179.6,199.0,"Chocolate, Peanut Spread",4.3
24465,Beauty & Hygiene,Skin Care,The Beauty Co.,552.5,850.0,Face Care,2.0
24466,Snacks & Branded Foods,Frozen Veggies & Snacks,Buffet ,260.0,260.0,Frozen Indian Breads,3.7
24467,"Bakery, Cakes & Dairy",Dairy,mother dairy,115.0,130.0,Cheese,4.3
24468,Fruits & Vegetables,Exotic Fruits & Veggies,Fresho,139.0,173.75,Exotic Fruits,3.9434095831792573
24469,"Kitchen, Garden & Pets",Pet Food & Accessories,Whiskas,736.32,780.0,Pet Meals & Treats,3.9434095831792573
24470,Beauty & Hygiene,Fragrances & Deos,Police,2700.0,3600.0,Eau De Parfum,5.0
24471,Snacks & Branded Foods,Ready To Cook & Eat,Blue Bird,36.0,36.0,Home Baking,4.4
24472,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",FabBox,100.0,100.0,Cereal & Granola Bars,3.9434095831792573
24473,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Miaow Miaow,75.0,75.0,"Healthy, Baked Snacks",3.9434095831792573
24474,"Kitchen, Garden & Pets",Storage & Accessories,Aristo,569.0,711.0,Racks & Holders,3.8
24475,Beauty & Hygiene,Bath & Hand Wash,Dettol,219.0,219.0,Bathing Bars & Soaps,4.3
24476,Beauty & Hygiene,Fragrances & Deos,Embark,295.0,295.0,Women's Deodorants,3.8
24477,"Kitchen, Garden & Pets",Gardening,Klassic,399.0,399.0,"Pots, Planters & Trays",1.8
24478,Gourmet & World Food,Cooking & Baking Needs,Health 1st,160.0,160.0,Flours & Pre-Mixes,4.0
24479,Cleaning & Household,Bins & Bathroom Ware,Aristo,1399.0,1720.0,"Laundry, Storage Baskets",3.6
24480,Beauty & Hygiene,Health & Medicine,Tulips,30.0,30.0,Cotton & Ear Buds,4.1
24481,Beauty & Hygiene,Bath & Hand Wash,Fiama,65.0,65.0,Bathing Bars & Soaps,4.3
24482,Gourmet & World Food,Chocolates & Biscuits,Dutch Delights,990.0,990.0,"Cookies, Biscotti, Wafer",3.9434095831792573
24483,Beauty & Hygiene,Oral Care,Colgate,136.0,200.0,Toothpaste,4.3
24484,Beauty & Hygiene,Fragrances & Deos,Wild Stone,569.05,599.0,Men's Deodorants,4.5
24485,Beauty & Hygiene,Health & Medicine,Skore,90.0,90.0,Sexual Wellness,4.2
24486,Snacks & Branded Foods,Chocolates & Candies,Dabur,36.0,40.0,"Toffee, Candy & Lollypop",4.3
24487,Snacks & Branded Foods,Snacks & Namkeen,Mr. Makhana,40.0,40.0,Namkeen & Savoury Snacks,4.2
24488,Beauty & Hygiene,Skin Care,It's Skin,891.0,990.0,Face Care,3.9434095831792573
24489,"Foodgrains, Oil & Masala",Masalas & Spices,Hakim,60.0,60.0,Blended Masalas,4.1
24490,Cleaning & Household,Stationery,Luxor,100.0,100.0,"Pen, Pencils",1.0
24491,Gourmet & World Food,Dairy & Cheese,Kodai Cheese,225.0,250.0,International Cheese,3.9434095831792573
24492,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,67.5,75.0,Glucose & Milk Biscuits,4.2
24493,Gourmet & World Food,Cooking & Baking Needs,Puramate,43.2,48.0,"Baking, Cake Decorations",2.8
