,category,sub_category,brand,sale_price,market_price,type,rating
0,Beauty & Hygiene,Hair Care,Sri Sri Ayurveda ,220.0,220.0,Hair Oil & Serum,4.1
1,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,180.0,180.0,Water & Fridge Bottles,2.3
2,Cleaning & Household,Pooja Needs,Trm,119.0,250.0,Lamp & Lamp Oil,3.4
3,Cleaning & Household,Bins & Bathroom Ware,Nakoda,149.0,176.0,"Laundry, Storage Baskets",3.7
4,Beauty & Hygiene,Bath & Hand Wash,Nivea,162.0,162.0,Bathing Bars & Soaps,4.4
5,Cleaning & Household,All Purpose Cleaners,Nature Protect,169.0,199.0,Disinfectant Spray & Cleaners,3.3
6,Beauty & Hygiene,Skin Care,Satinance,58.0,58.0,Face Care,3.6
7,Beauty & Hygiene,Bath & Hand Wash,Bionova,250.0,250.0,Hand Wash & Sanitizers,4.0
8,Beauty & Hygiene,Hair Care,StBotanica,1098.0,1098.0,Shampoo & Conditioner,3.5
9,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,20.0,20.0,"Utensil Scrub-Pad, Glove",4.3
10,Gourmet & World Food,Cooking & Baking Needs,NUTRASHIL,261.0,290.0,Flours & Pre-Mixes,4.0
11,Gourmet & World Food,Chocolates & Biscuits,Sapphire,600.0,600.0,"Luxury Chocolates, Gifts",2.2
12,Beauty & Hygiene,Skin Care,Oxy,110.0,110.0,Face Care,5.0
13,Cleaning & Household,All Purpose Cleaners,Clorox,350.0,350.0,Floor & Other Cleaners,3.8
14,Cleaning & Household,Fresheners & Repellents,Herbal Strategi,200.0,200.0,Mosquito Repellent,4.2
15,Cleaning & Household,Bins & Bathroom Ware,Nakoda,49.0,59.0,Soap Cases & Dispensers,4.0
16,Beauty & Hygiene,Skin Care,Aroma Treasures,324.0,360.0,Aromatherapy,5.0
17,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Graminway,180.0,180.0,Roasted Seeds & Nuts,4.9
18,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,120.0,120.0,Roasted Seeds & Nuts,4.3
19,Gourmet & World Food,Dairy & Cheese,Murginns,85.14,90.0,Tofu,3.9
20,Beauty & Hygiene,Hair Care,Bronson Professional,525.0,700.0,Tools & Accessories,4.2
21,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45.0,50.0,Imported Noodles,4.1
22,"Foodgrains, Oil & Masala",Dry Fruits,NaturoBell,120.0,120.0,Other Dry Fruits,3.9
23,Gourmet & World Food,Drinks & Beverages,Cambridge Tea Party,75.0,75.0,Gourmet Tea & Tea Bags,3.9
24,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,195.0,195.0,Choppers & Graters,5.0
25,"Kitchen, Garden & Pets",Flask & Casserole,Cello,659.0,895.0,Casserole,3.3
26,Snacks & Branded Foods,Breakfast Cereals,Fit & Flex,245.0,265.0,Granola & Cereal Bars,3.5
27,"Foodgrains, Oil & Masala",Dry Fruits,Safe Harvest,53.9,55.0,Other Dry Fruits,4.0
28,Snacks & Branded Foods,Frozen Veggies & Snacks,Switz,90.0,110.0,Frozen Veg Snacks,4.3
29,Beauty & Hygiene,Skin Care,Organic Harvest,169.15,199.0,Lip Care,1.5
30,Beverages,Fruit Juices & Drinks,Real,19.0,20.0,Juices,2.9
31,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Cadbury,102.0,120.0,"Bakery Biscuits, Cookies",4.2
32,Beauty & Hygiene,Fragrances & Deos,Old Spice,211.65,249.0,Men's Deodorants,3.4
33,Beverages,Tea,Octavius,225.0,225.0,Green Tea,3.7
34,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,499.0,969.0,Containers Sets,3.9
35,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,98.0,120.0,Whole Spices,4.1
36,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,46.75,55.0,Blended Masalas,3.9
37,Beauty & Hygiene,Fragrances & Deos,Engage,136.5,195.0,Men's Deodorants,4.1
38,Beauty & Hygiene,Men's Grooming,Engage,112.75,205.0,Men's Deodorants,3.7
39,Snacks & Branded Foods,Chocolates & Candies,Fabelle,160.0,200.0,Chocolates,4.4
40,Beauty & Hygiene,Fragrances & Deos,Colour Me,427.5,450.0,Eau De Toilette,4.3
41,Beauty & Hygiene,Bath & Hand Wash,Liril,360.0,360.0,Bathing Bars & Soaps,4.2
42,Gourmet & World Food,Chocolates & Biscuits,Twister,275.0,275.0,"Cookies, Biscotti, Wafer",4.3
43,"Kitchen, Garden & Pets",Steel Utensils,Classic Essentials,109.0,299.0,Steel Lunch Boxes,2.6
44,Gourmet & World Food,Tinned & Processed Food,Figaro,179.0,179.0,"Olive, Jalapeno, Gherkin",5.0
45,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,250.0,250.0,"Organic Rice, Other Rice",3.9
46,Beauty & Hygiene,Men's Grooming,Gillette,459.62,469.0,Shaving Care,3.9
47,Cleaning & Household,All Purpose Cleaners,Dylon ,799.0,799.0,Imported Cleaners,4.0
48,Gourmet & World Food,"Sauces, Spreads & Dips",Pantai,245.0,245.0,Thai & Asian Sauces,3.7
49,Snacks & Branded Foods,Pickles & Chutney,Spice Story,100.0,125.0,Chutney Powder,3.0
50,"Foodgrains, Oil & Masala",Masalas & Spices,Mother's Recipe,48.95,55.0,Cooking Pastes,4.1
51,Gourmet & World Food,Drinks & Beverages,Pekers,850.0,850.0,Gourmet Juices & Drinks,4.2
52,Beauty & Hygiene,Men's Grooming,Red Hunt,80.0,100.0,Face & Body,4.0
53,Snacks & Branded Foods,Chocolates & Candies,Fabelle,56.0,70.0,Chocolates,4.0
54,Gourmet & World Food,Tinned & Processed Food,Daucy,202.5,225.0,Beans & Pulses,4.5
55,Beauty & Hygiene,Skin Care,TJORI,299.4,499.0,Face Care,3.9434095831792573
56,Snacks & Branded Foods,Ready To Cook & Eat,Shareat,60.0,60.0,"Papads, Ready To Fry",3.9
57,Beauty & Hygiene,Hair Care,Aroma Treasures,199.5,210.0,Hair & Scalp Treatment,4.4
58,Baby Care,Baby Bath & Hygiene,Quick Dry,199.0,199.0,Baby Health,3.7
59,Cleaning & Household,Stationery,Prozo Plus,399.0,399.0,"Notebooks, Files, Folders",3.9434095831792573
60,"Kitchen, Garden & Pets",Kitchen Accessories,Kvg,149.0,179.0,Kitchen Tools & Other Accessories,3.5
61,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,348.6,498.0,Pet Meals & Treats,4.0
62,Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,209.4,349.0,"Chocolate, Peanut Spread",4.3
63,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,35.0,"Marie, Health, Digestive",4.0
64,Beauty & Hygiene,Hair Care,Azafran,168.75,225.0,Shampoo & Conditioner,1.0
65,Beauty & Hygiene,Skin Care,TJORI,269.4,449.0,Face Care,3.9434095831792573
66,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,339.15,399.0,Pet Meals & Treats,3.9
67,Beauty & Hygiene,Oral Care,Colgate,374.25,499.0,Electric Toothbrush,4.0
68,"Foodgrains, Oil & Masala",Masalas & Spices,Earthon,72.0,72.0,Whole Spices,3.9434095831792573
69,"Kitchen, Garden & Pets",Pet Food & Accessories,Glenand,840.0,840.0,Pet Collars & Leashes,3.9434095831792573
70,Beauty & Hygiene,Oral Care,Colgate,43.0,43.0,Toothpaste,4.0
71,Beauty & Hygiene,Skin Care,Pears,120.0,150.0,Face Care,4.3
72,Beauty & Hygiene,Skin Care,INATUR ,210.0,300.0,Aromatherapy,3.5
73,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Mantra,70.0,70.0,Roasted Seeds & Nuts,3.6
74,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,75.0,126.0,Water & Fridge Bottles,3.9434095831792573
75,Beauty & Hygiene,Skin Care,Natures Essence,500.0,500.0,Face Care,3.0
76,"Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,135.0,299.0,Kitchen Tools & Other Accessories,4.3
77,Beauty & Hygiene,Bath & Hand Wash,Dettol,108.0,120.0,Bathing Bars & Soaps,4.6
78,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Fresho Signature,49.0,65.0,Dry Fruits & Berries,3.9434095831792573
79,Beauty & Hygiene,Oral Care,Colgate,49.0,79.0,Toothbrush,3.9
80,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65.0,65.0,Chips & Corn Snacks,3.9
81,Gourmet & World Food,"Pasta, Soup & Noodles",Batchelors,269.1,299.0,Imported Soups,3.9434095831792573
82,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96.0,96.0,Organic Dals & Pulses,3.9
83,Gourmet & World Food,Dairy & Cheese,Haagen-Dazs,225.0,225.0,Gourmet Ice Cream,3.9434095831792573
84,Cleaning & Household,Detergents & Dishwash,bb Combo,95.0,114.0,Dishwash Bars & Powders,3.9434095831792573
85,"Kitchen, Garden & Pets",Crockery & Cutlery,BB Home,479.0,629.0,Glassware,3.9434095831792573
86,Gourmet & World Food,Dairy & Cheese,Fresho Signature,695.7,773.0,International Cheese,3.9434095831792573
87,Cleaning & Household,Pooja Needs,Shalimar,31.5,35.0,"Agarbatti, Incense Sticks",4.6
88,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,299.0,Bathing Bars & Soaps,4.2
89,Fruits & Vegetables,Cuts & Sprouts,Supa Corn,55.0,55.0,Cut & Peeled Veggies,3.9434095831792573
90,Beauty & Hygiene,Health & Medicine,Muniyal Ayurveda,120.0,120.0,Ayurveda,3.9434095831792573
91,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,910.0,Tawa & Sauce Pan,4.6
92,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,90.0,"Flavoured, Soya Milk",5.0
93,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10.0,10.0,Namkeen & Savoury Snacks,4.1
94,"Kitchen, Garden & Pets",Steel Utensils,Ramson,129.0,249.0,Steel Storage Containers,1.5
95,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,299.0,Men's Deodorants,4.0
96,Beauty & Hygiene,Feminine Hygiene,Dimples,1200.0,1200.0,Hair Removal,3.9434095831792573
97,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,35.0,Hand Wash & Sanitizers,4.4
98,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,345.0,Aromatherapy,3.7
99,Baby Care,Diapers & Wipes,Huggies,1266.38,1398.0,Diapers,4.0
100,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Samvruddhi,515.0,515.0,Other Edible Oils,3.9434095831792573
101,Gourmet & World Food,Cooking & Baking Needs,Nourish You,495.0,495.0,Quinoa & Grains,3.9434095831792573
102,Beauty & Hygiene,Hair Care,Garnier,230.0,230.0,Shampoo & Conditioner,4.8
103,Beauty & Hygiene,Bath & Hand Wash,Fuschia,225.0,250.0,Shower Gel & Body Wash,3.7
104,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30.0,30.0,"Marie, Health, Digestive",4.4
105,"Kitchen, Garden & Pets",Storage & Accessories,Fendo,289.0,749.0,Umbrella,3.6
106,Beverages,Fruit Juices & Drinks,Paper Boat,243.0,360.0,Juices,3.9434095831792573
107,Beauty & Hygiene,Hair Care,Jovees,137.75,145.0,Shampoo & Conditioner,3.6
108,"Kitchen, Garden & Pets",Cookware & Non Stick,Omega,249.0,315.0,Kadai & Fry Pans,3.3
109,Baby Care,Baby Food & Formula,Slurrp Farm,349.0,349.0,Baby Food,4.0
110,Cleaning & Household,Pooja Needs,Ambica,60.0,60.0,"Agarbatti, Incense Sticks",4.6
111,Beauty & Hygiene,Skin Care,Elovera,209.3,299.0,Body Care,5.0
112,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,30.0,Organic Masalas & Spices,4.2
113,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",4700BC,44.1,49.0,Gourmet Popcorn,3.9434095831792573
114,Beauty & Hygiene,Skin Care,Soulflower,182.75,215.0,Aromatherapy,4.0
115,Fruits & Vegetables,Fresh Fruits,Fresho,35.0,43.75,Organic Fruits,3.9434095831792573
116,Beverages,Tea,Wagh Bakri,150.0,150.0,Leaf & Dust Tea,4.3
117,"Kitchen, Garden & Pets",Steel Utensils,BB Home,69.0,159.0,Bowls & Vessels,3.9434095831792573
118,"Kitchen, Garden & Pets",Pet Food & Accessories,Maxi Persian,999.0,999.0,Pet Meals & Treats,3.9434095831792573
119,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",Nutribee,100.0,100.0,Rusks,4.5
120,"Kitchen, Garden & Pets",Cookware & Non Stick,Vinod,1099.0,1335.0,Kadai & Fry Pans,3.8
121,Cleaning & Household,Fresheners & Repellents,Aer,53.35,55.0,Air Freshener,4.2
122,Fruits & Vegetables,Fresh Vegetables,Fresho,23.0,28.75,Cabbage & Cauliflower,3.9434095831792573
123,"Kitchen, Garden & Pets",Storage & Accessories,Hm International,269.0,299.0,Lunch Boxes,3.0
124,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Dhara ,183.0,185.0,"Sunflower, Rice Bran Oil",4.1
125,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,179.0,280.0,Containers Sets,3.9
126,Snacks & Branded Foods,Snacks & Namkeen,ACT II,29.7,33.0,Chips & Corn Snacks,4.2
127,Beauty & Hygiene,Skin Care,Kaya Clinic,455.0,525.0,Lip Care,3.9434095831792573
128,Beauty & Hygiene,Health & Medicine,Abbies,1299.0,1299.0,Supplements & Proteins,3.9434095831792573
129,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,299.0,398.0,Glassware,3.9434095831792573
130,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,23.76,30.0,Cream Biscuits & Wafers,4.3
131,Fruits & Vegetables,Fresh Fruits,Fresho,39.0,48.75,"Banana, Sapota & Papaya",3.9434095831792573
132,Fruits & Vegetables,Herbs & Seasonings,Fresho,14.0,17.5,"Lemon, Ginger & Garlic",3.9434095831792573
133,Snacks & Branded Foods,Chocolates & Candies,Amul,90.0,100.0,Chocolates,4.2
134,Gourmet & World Food,Tinned & Processed Food,Del Monte,230.0,230.0,"Olive, Jalapeno, Gherkin",4.4
135,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,159.0,190.0,Glassware,3.7
136,Gourmet & World Food,Cooking & Baking Needs,Purix,85.5,90.0,"Baking, Cake Decorations",3.9434095831792573
137,Gourmet & World Food,Chocolates & Biscuits,Sapphire,250.0,250.0,International Chocolates,3.9434095831792573
138,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,75.0,75.0,Breakfast & Snack Mixes,3.9
139,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369.0,425.0,Water & Fridge Bottles,4.8
140,"Kitchen, Garden & Pets",Steel Utensils,Omega,125.0,125.0,Plates & Tumblers,3.6
141,"Foodgrains, Oil & Masala",Organic Staples,Akshayakalpa,280.0,280.0,"Organic Edible Oil, Ghee",4.2
142,"Foodgrains, Oil & Masala",Dry Fruits,Lion,66.0,66.0,Other Dry Fruits,4.1
143,Snacks & Branded Foods,Pickles & Chutney,Priya,90.0,90.0,Lime & Mango Pickle,3.9
144,"Foodgrains, Oil & Masala",Masalas & Spices,Aashirvaad,32.0,64.0,Powdered Spices,4.2
145,"Bakery, Cakes & Dairy",Breads & Buns,English Oven,20.0,20.0,"Milk, White & Sandwich",3.9434095831792573
146,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,225.0,225.0,"Curry Paste, Coconut Milk",3.9434095831792573
147,Snacks & Branded Foods,Breakfast Cereals,Murginns,225.0,225.0,Flakes,4.5
148,Gourmet & World Food,Oils & Vinegar,Health 1st,250.0,250.0,Flavoured & Other Oils,3.7
149,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,639.0,975.0,Glassware,3.3
150,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,289.0,358.0,Glassware,3.9434095831792573
151,Beauty & Hygiene,Oral Care,Dentoshine  ,120.0,120.0,Toothbrush,4.3
152,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,459.0,705.0,Glassware,3.5
153,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",On The Run,50.0,50.0,"Healthy, Baked Snacks",3.9434095831792573
154,Beauty & Hygiene,Feminine Hygiene,Gillette Venus,350.0,350.0,Hair Removal,4.3
155,Gourmet & World Food,Cooking & Baking Needs,Wow Confetti,247.0,260.0,"Baking, Cake Decorations",3.9434095831792573
156,Gourmet & World Food,Oils & Vinegar,BORGES,429.03,700.0,"Pure, Pomace Olive Oil",4.5
157,"Kitchen, Garden & Pets",Storage & Accessories,BB Home,25.0,42.0,Water & Fridge Bottles,3.9434095831792573
158,Gourmet & World Food,Cooking & Baking Needs,Organicana,185.0,185.0,Quinoa & Grains,3.9434095831792573
159,Beauty & Hygiene,Skin Care,Aloederm,112.5,150.0,Face Care,3.1
160,Cleaning & Household,Fresheners & Repellents,Odonil ,77.0,77.0,Air Freshener,4.2
161,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,189.0,220.0,Glassware,3.7
162,Beauty & Hygiene,Hair Care,Garnier,199.0,199.0,Hair Color,4.1
163,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40.0,40.0,Bathing Bars & Soaps,4.3
164,Gourmet & World Food,Drinks & Beverages,Sancha,450.0,450.0,Gourmet Tea & Tea Bags,3.9434095831792573
165,Baby Care,Feeding & Nursing,Mee Mee,179.0,179.0,Bibs & Napkins,4.3
166,Cleaning & Household,Stationery,DP,232.0,399.0,Exam Pads & Pencil Box,4.0
167,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",GoodDiet,79.0,109.0,"Healthy, Baked Snacks",3.9434095831792573
168,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,80.0,80.0,Breakfast & Snack Mixes,3.7
169,"Kitchen, Garden & Pets",Storage & Accessories,Tedemei,509.0,565.0,Lunch Boxes,3.6
170,Beverages,Energy & Soft Drinks,NOCD,110.0,110.0,Sports & Energy Drinks,4.0
171,Beauty & Hygiene,Skin Care,BIOTIQUE,142.5,190.0,Face Care,3.0
172,Beauty & Hygiene,Hair Care,Himalaya Wellness,90.0,100.0,Hair Oil & Serum,4.4
173,Baby Care,Diapers & Wipes,Huggies,699.0,999.0,Diapers,3.9
174,Beauty & Hygiene,Skin Care,StBotanica,799.0,799.0,Face Care,3.9434095831792573
175,Beauty & Hygiene,Skin Care,Soulflower,328.0,450.0,Aromatherapy,4.5
176,Beauty & Hygiene,Bath & Hand Wash,Medimix,40.0,40.0,Bathing Bars & Soaps,4.3
177,Beauty & Hygiene,Bath & Hand Wash,Mysore Sandal,430.0,430.0,Bathing Bars & Soaps,5.0
178,Beauty & Hygiene,Health & Medicine,Siang Pure,195.0,195.0,Everyday Medicine,3.9434095831792573
179,"Kitchen, Garden & Pets",Appliances & Electricals,AGARO,159.0,260.0,CFL & Led Bulbs,4.0
180,Fruits & Vegetables,Herbs & Seasonings,Fresho,81.06,109.38,Indian & Exotic Herbs,3.9434095831792573
181,"Foodgrains, Oil & Masala","Salt, Sugar & Jaggery",Safe Harvest,56.0,70.0,Sugar & Jaggery,3.9
182,"Foodgrains, Oil & Masala",Masalas & Spices,Kohinoor,19.0,20.0,Blended Masalas,4.2
183,Cleaning & Household,All Purpose Cleaners,ECO365,509.0,509.0,"Kitchen, Glass & Drain",3.9434095831792573
184,Beauty & Hygiene,Skin Care,Vaadi,148.5,165.0,Face Care,3.9434095831792573
185,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,119.0,149.0,Breakfast & Snack Mixes,4.2
186,Beauty & Hygiene,Skin Care,Khadi Natural,99.0,99.0,Lip Care,4.4
187,Snacks & Branded Foods,Ready To Cook & Eat,MOM Meal of the Moment,20.0,20.0,Heat & Eat Ready Meals,3.4
188,Beauty & Hygiene,Health & Medicine,Maharishi Ayurveda ,165.0,165.0,Ayurveda,3.9434095831792573
189,"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,2369.0,2780.0,Pressure Cookers,3.9434095831792573
190,"Kitchen, Garden & Pets",Pet Food & Accessories,Kennel kitchen ,150.0,150.0,Pet Meals & Treats,3.9434095831792573
191,Beauty & Hygiene,Skin Care,Oriental Botanics,699.0,699.0,Aromatherapy,2.0
192,Beauty & Hygiene,Skin Care,Bio-Oil,333.0,450.0,Body Care,4.2
193,"Bakery, Cakes & Dairy",Gourmet Breads,The Baker's Dozen,155.0,155.0,Gourmet Bread,4.4
194,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Miaow Miaow,75.0,75.0,"Healthy, Baked Snacks",3.9434095831792573
195,Cleaning & Household,"Mops, Brushes & Scrubs",York,558.0,620.0,"Mops, Wipers",3.9434095831792573
196,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,10.0,12.5,Organic Vegetables,3.9434095831792573
197,Cleaning & Household,Stationery,Classmate,33.0,33.0,"Notebooks, Files, Folders",4.3
198,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,67.5,75.0,Imported Noodles,3.6
199,Gourmet & World Food,Cooking & Baking Needs,Graminway,378.0,378.0,Flours & Pre-Mixes,3.7
200,Snacks & Branded Foods,Indian Mithai,Paper Boat,40.0,40.0,Chikki & Gajjak,4.1
201,Beauty & Hygiene,Fragrances & Deos,Ajmal,4900.0,5000.0,Attar,3.9434095831792573
202,Beauty & Hygiene,Fragrances & Deos,Nike,278.4,348.0,Body Sprays & Mists,3.9434095831792573
203,"Foodgrains, Oil & Masala",Organic Staples,PRISTINE,52.0,52.0,Organic Masalas & Spices,4.4
204,Beauty & Hygiene,Skin Care,Aloe Veda,697.5,775.0,Aromatherapy,3.9434095831792573
205,Snacks & Branded Foods,Ready To Cook & Eat,999,20.0,20.0,Home Baking,4.0
206,Beauty & Hygiene,Oral Care,Pepsodent,78.4,98.0,Toothpaste,4.3
207,Beauty & Hygiene,Skin Care,BIOTIQUE,149.25,199.0,Face Care,3.9
208,"Kitchen, Garden & Pets",Kitchen Accessories,Anjali,65.0,82.0,"Strainer, Ladle, Spatula",3.7
209,"Bakery, Cakes & Dairy","Cookies, Rusk & Khari",PRISTINE,35.0,35.0,Rusks,1.8
210,Beauty & Hygiene,Health & Medicine,Baidyanath,295.0,295.0,Ayurveda,3.9434095831792573
211,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,147.0,147.0,Hand Wash & Sanitizers,4.2
212,Beauty & Hygiene,Hair Care,Garnier,108.78,117.0,Hair Color,4.2
213,Gourmet & World Food,Oils & Vinegar,Zoe,449.1,499.0,Balsamic & Cider Vinegar,5.0
214,Fruits & Vegetables,Fresh Vegetables,Fresho,10.0,12.5,Organic Vegetables,3.9434095831792573
215,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,35.0,"Flavoured, Soya Milk",4.5
216,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,25.0,25.0,"Marie, Health, Digestive",4.3
217,"Foodgrains, Oil & Masala",Masalas & Spices,Annapoorna,28.0,28.0,Blended Masalas,4.8
218,Snacks & Branded Foods,Chocolates & Candies,Amul,87.12,100.0,Chocolates,4.3
219,Baby Care,Diapers & Wipes,Himalaya,699.0,699.0,Baby Wipes,4.1
220,Fruits & Vegetables,Fresh Fruits,Fresho,105.0,131.25,Exotic Fruits,3.9434095831792573
221,Cleaning & Household,Bins & Bathroom Ware,DP,249.0,449.0,Dustbins,4.1
222,Fruits & Vegetables,Fresh Fruits,Fresho,19.0,23.75,"Cut Fruit, Tender Coconut",3.9434095831792573
223,"Foodgrains, Oil & Masala",Masalas & Spices,Catch,44.2,52.0,Powdered Spices,4.1
224,Beauty & Hygiene,Skin Care,Joy,90.0,120.0,Face Care,4.3
225,Fruits & Vegetables,Organic Fruits & Vegetables,Fresho,33.6,42.0,Organic Vegetables,3.9434095831792573
226,Beauty & Hygiene,Bath & Hand Wash,StBotanica,275.0,275.0,Bathing Bars & Soaps,5.0
227,"Kitchen, Garden & Pets",Cookware & Non Stick,United,2059.0,2424.0,Pressure Cookers,3.0
228,"Kitchen, Garden & Pets",Steel Utensils,BB Home,249.0,339.0,Steel Storage Containers,3.9434095831792573
229,Beauty & Hygiene,Health & Medicine,Baidyanath,225.0,225.0,Supplements & Proteins,5.0
230,Beauty & Hygiene,Bath & Hand Wash,Yardley London,329.8,400.0,Talcum Powder,3.9434095831792573
231,Snacks & Branded Foods,Chocolates & Candies,Timios,140.0,140.0,Chocolates,3.6
232,Fruits & Vegetables,Cuts & Sprouts,Fresho,32.0,40.0,Cut & Peeled Veggies,3.9434095831792573
233,Gourmet & World Food,Cooking & Baking Needs,On1y,99.0,99.0,"Herbs, Seasonings & Rubs",4.3
234,"Kitchen, Garden & Pets",Storage & Accessories,Asian,319.0,495.0,Lunch Boxes,3.5
235,Snacks & Branded Foods,Snacks & Namkeen,Tasties,49.0,85.0,Namkeen & Savoury Snacks,4.0
236,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,166.0,175.0,Roasted Seeds & Nuts,4.4
237,"Kitchen, Garden & Pets",Appliances & Electricals,Wipro,199.0,320.0,CFL & Led Bulbs,3.5
238,"Bakery, Cakes & Dairy",Dairy,Hello Tempayy,135.0,150.0,"Paneer, Tofu & Cream",5.0
239,Beauty & Hygiene,Skin Care,The Moms Co,972.0,972.0,Body Care,3.9434095831792573
240,"Eggs, Meat & Fish",Fish & Seafood,Ifb,240.0,240.0,Frozen Fish & Seafood,3.9434095831792573
241,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Appitas,95.0,95.0,Nachos & Chips,2.8
242,Gourmet & World Food,Cooking & Baking Needs,So Sweet,350.0,350.0,Exotic Sugar & Salt,5.0
243,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,289.0,358.0,Glassware,3.9434095831792573
244,Snacks & Branded Foods,Biscuits & Cookies,Parle,60.0,60.0,Salted Biscuits,4.2
245,Beauty & Hygiene,Health & Medicine,Sri Sri Tattva,80.0,80.0,Ayurveda,3.9434095831792573
246,Beauty & Hygiene,Skin Care,Himalaya,112.5,150.0,Lip Care,4.0
247,Beauty & Hygiene,Bath & Hand Wash,Dettol,218.0,218.0,Hand Wash & Sanitizers,4.3
248,"Kitchen, Garden & Pets",Cookware & Non Stick,HAZEL,649.0,1289.0,Tawa & Sauce Pan,3.9434095831792573
249,Snacks & Branded Foods,Ready To Cook & Eat,Grb,110.0,110.0,Breakfast & Snack Mixes,4.1
250,Beauty & Hygiene,Fragrances & Deos,Ajmal,300.0,500.0,Attar,3.9434095831792573
251,Beauty & Hygiene,Skin Care,Kaya Clinic,432.0,480.0,Face Care,5.0
252,"Kitchen, Garden & Pets",Flask & Casserole,BB Home,609.0,999.0,Vacuum Flask,3.9434095831792573
253,Beauty & Hygiene,Skin Care,Olay,1049.25,1399.0,Face Care,4.1
254,Beauty & Hygiene,Health & Medicine,SINWUAS,39.0,69.0,Cotton & Ear Buds,3.9434095831792573
255,Gourmet & World Food,Chocolates & Biscuits,Cocon,63.75,75.0,"Marshmallow, Candy, Jelly",4.0
256,Beauty & Hygiene,Health & Medicine,Bixa Botanical,595.0,595.0,Ayurveda,3.9434095831792573
257,"Kitchen, Garden & Pets",Kitchen Accessories,Ritu,89.0,125.0,Kitchen Tools & Other Accessories,3.2
258,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,94.05,99.0,Organic Masalas & Spices,4.2
259,Beauty & Hygiene,Bath & Hand Wash,K.P. Namboodiris,35.0,35.0,Bathing Bars & Soaps,4.7
260,"Eggs, Meat & Fish","Sausages, Bacon & Salami",Fresho,171.6,220.0,Chicken Sausages,3.9434095831792573
